test_id	language	trial_set
ivec15-lre_afukmzc	burmese	eval
ivec15-lre_afuzlgc	kosovo	eval
ivec15-lre_afvvaoc	out_of_set	prog
ivec15-lre_afvygsc	russian	prog
ivec15-lre_afxnzwc	out_of_set	prog
ivec15-lre_agbsjhc	shona	eval
ivec15-lre_agbxfhc	out_of_set	eval
ivec15-lre_agbzrnc	hausa	eval
ivec15-lre_agcnijc	romanian	prog
ivec15-lre_agdpiuc	out_of_set	eval
ivec15-lre_agfursc	zulu	prog
ivec15-lre_agmswgc	tajik	prog
ivec15-lre_agxhadc	greek	eval
ivec15-lre_agzwhpc	armenian	prog
ivec15-lre_aheltkc	out_of_set	prog
ivec15-lre_ahiuepc	out_of_set	prog
ivec15-lre_ahkiucc	laotian	eval
ivec15-lre_ahoaqtc	out_of_set	eval
ivec15-lre_ahofncc	thai	eval
ivec15-lre_ahuosmc	kurdish	prog
ivec15-lre_ahwmbcc	khmer	eval
ivec15-lre_aicgmic	hindi	eval
ivec15-lre_aifldac	romanian	eval
ivec15-lre_aihfbvc	out_of_set	eval
ivec15-lre_aiilrjc	out_of_set	prog
ivec15-lre_aikeuuc	out_of_set	eval
ivec15-lre_aikmbnc	hausa	prog
ivec15-lre_aiksyfc	indonesian	prog
ivec15-lre_aipimfc	kazakh	eval
ivec15-lre_aiqpshc	czech	prog
ivec15-lre_ajghioc	cantonese	eval
ivec15-lre_ajgpvwc	slovak	eval
ivec15-lre_ajgqwqc	kazakh	prog
ivec15-lre_ajhxthc	czech	prog
ivec15-lre_ajhzxrc	portuguese	eval
ivec15-lre_ajomxlc	uzbek	prog
ivec15-lre_ajstdbc	tagalog	eval
ivec15-lre_akcnwrc	out_of_set	prog
ivec15-lre_akcwlzc	punjabi	prog
ivec15-lre_akfkhyc	uzbek	eval
ivec15-lre_akfrnbc	laotian	eval
ivec15-lre_akiiitc	cantonese	eval
ivec15-lre_akrnytc	out_of_set	prog
ivec15-lre_aleaiac	spanish	eval
ivec15-lre_aleleoc	tagalog	prog
ivec15-lre_algfdqc	oromo	eval
ivec15-lre_aljnnkc	hindi	prog
ivec15-lre_alrnepc	thai	eval
ivec15-lre_alxhkic	shona	eval
ivec15-lre_amgjyfc	romanian	eval
ivec15-lre_amgqxtc	laotian	eval
ivec15-lre_amhwmbc	tatar	prog
ivec15-lre_amlspfc	swahili	eval
ivec15-lre_ammcspc	tibetan	prog
ivec15-lre_amnhyzc	japanese	eval
ivec15-lre_amqeacc	punjabi	eval
ivec15-lre_amqnpxc	hindi	eval
ivec15-lre_amxsrjc	out_of_set	prog
ivec15-lre_amyegrc	thai	eval
ivec15-lre_anbhftc	kazakh	eval
ivec15-lre_anbvguc	khmer	eval
ivec15-lre_anfgrcc	portuguese	eval
ivec15-lre_anivxec	amharic	prog
ivec15-lre_anmmrgc	zulu	eval
ivec15-lre_anwzpoc	oromo	prog
ivec15-lre_aofukmc	urdu	eval
ivec15-lre_aojekoc	out_of_set	eval
ivec15-lre_aomaayc	spanish	prog
ivec15-lre_aoodfec	greek	eval
ivec15-lre_aooqjvc	japanese	eval
ivec15-lre_aotmoic	korean	eval
ivec15-lre_aotnosc	tibetan	prog
ivec15-lre_apbehtc	japanese	prog
ivec15-lre_apdajic	azerbaijani	prog
ivec15-lre_apgdrpc	out_of_set	eval
ivec15-lre_apjdovc	uzbek	eval
ivec15-lre_apjocuc	dari	eval
ivec15-lre_apmxojc	ukrainian	eval
ivec15-lre_apobyqc	zulu	prog
ivec15-lre_aprhqhc	mandarin	eval
ivec15-lre_apufenc	urdu	prog
ivec15-lre_apvimtc	romanian	eval
ivec15-lre_apvxtrc	farsi	eval
ivec15-lre_apwyqzc	kazakh	eval
ivec15-lre_apyoqhc	out_of_set	eval
ivec15-lre_aqbcuxc	out_of_set	eval
ivec15-lre_aqcjokc	uzbek	eval
ivec15-lre_aqitznc	oromo	prog
ivec15-lre_aqjujwc	tibetan	eval
ivec15-lre_aqnouwc	kazakh	eval
ivec15-lre_aqsuboc	tajik	prog
ivec15-lre_aqvhgsc	armenian	eval
ivec15-lre_aqxdqyc	polish	eval
ivec15-lre_arezksc	tatar	eval
ivec15-lre_arfnouc	slovak	prog
ivec15-lre_arhekqc	punjabi	eval
ivec15-lre_arkharc	tatar	eval
ivec15-lre_arnsirc	out_of_set	prog
ivec15-lre_arufztc	uzbek	prog
ivec15-lre_arwfucc	french	prog
ivec15-lre_aryhfwc	tibetan	eval
ivec15-lre_asbmqjc	bosnian	eval
ivec15-lre_aseinec	indonesian	eval
ivec15-lre_asfmntc	zulu	eval
ivec15-lre_asfmxuc	swahili	prog
ivec15-lre_asoxkwc	burmese	eval
ivec15-lre_asrndyc	out_of_set	eval
ivec15-lre_asutzzc	out_of_set	eval
ivec15-lre_asxrxtc	kazakh	eval
ivec15-lre_asyehbc	spanish	eval
ivec15-lre_asygwpc	korean	eval
ivec15-lre_asyjmvc	out_of_set	eval
ivec15-lre_ataoalc	tatar	eval
ivec15-lre_atcoxgc	tagalog	eval
ivec15-lre_atyvexc	out_of_set	prog
ivec15-lre_atzxejc	tajik	prog
ivec15-lre_aucdtac	ukrainian	prog
ivec15-lre_auefpzc	out_of_set	prog
ivec15-lre_aujdcuc	khmer	eval
ivec15-lre_aukehcc	polish	prog
ivec15-lre_auklpfc	out_of_set	eval
ivec15-lre_auoncjc	dari	eval
ivec15-lre_auosetc	kosovo	eval
ivec15-lre_auqgqlc	tajik	eval
ivec15-lre_ausnesc	tatar	prog
ivec15-lre_auvqopc	russian	eval
ivec15-lre_avakhhc	shona	eval
ivec15-lre_avapync	shona	eval
ivec15-lre_avbewgc	shona	prog
ivec15-lre_avbyawc	portuguese	eval
ivec15-lre_avcqtdc	french	prog
ivec15-lre_avdninc	japanese	eval
ivec15-lre_avfmjfc	uzbek	prog
ivec15-lre_avhswbc	out_of_set	eval
ivec15-lre_avhwwgc	khmer	prog
ivec15-lre_avqrhpc	indonesian	eval
ivec15-lre_avzgodc	shona	eval
ivec15-lre_awikivc	thai	prog
ivec15-lre_awlkuoc	english	prog
ivec15-lre_awnvdyc	out_of_set	eval
ivec15-lre_awodjyc	bosnian	eval
ivec15-lre_awsxmlc	shona	eval
ivec15-lre_axblkic	kyryz	eval
ivec15-lre_axdudoc	somali	prog
ivec15-lre_axfwugc	laotian	eval
ivec15-lre_axhepcc	kyryz	eval
ivec15-lre_axhvpoc	russian	eval
ivec15-lre_axkdmmc	out_of_set	eval
ivec15-lre_axlolwc	arabic	prog
ivec15-lre_axnukic	out_of_set	eval
ivec15-lre_axogonc	hindi	eval
ivec15-lre_axooxbc	punjabi	eval
ivec15-lre_axphwmc	hausa	eval
ivec15-lre_axqaioc	kazakh	eval
ivec15-lre_axqcvyc	kyryz	eval
ivec15-lre_axswofc	thai	eval
ivec15-lre_aybmbyc	hindi	prog
ivec15-lre_ayfsvpc	azerbaijani	eval
ivec15-lre_aymdzcc	romanian	eval
ivec15-lre_aytprcc	thai	prog
ivec15-lre_ayzycuc	out_of_set	eval
ivec15-lre_azawvpc	uzbek	eval
ivec15-lre_azbjrpc	tajik	eval
ivec15-lre_azdcijc	hindi	eval
ivec15-lre_azkohrc	indonesian	eval
ivec15-lre_azobngc	japanese	eval
ivec15-lre_azqdkwc	out_of_set	eval
ivec15-lre_azuyhlc	farsi	prog
ivec15-lre_azwtfhc	out_of_set	eval
ivec15-lre_azzlxnc	japanese	prog
ivec15-lre_badcqoc	out_of_set	eval
ivec15-lre_baewwlc	indonesian	eval
ivec15-lre_baftvsc	arabic	prog
ivec15-lre_bagtmkc	kurdish	eval
ivec15-lre_bahopoc	kyryz	prog
ivec15-lre_baidnoc	kurdish	prog
ivec15-lre_bakktnc	japanese	eval
ivec15-lre_bakqoqc	portuguese	prog
ivec15-lre_bakrekc	portuguese	prog
ivec15-lre_bapoxgc	out_of_set	prog
ivec15-lre_batawhc	ukrainian	eval
ivec15-lre_bavozuc	out_of_set	prog
ivec15-lre_bawmpuc	out_of_set	eval
ivec15-lre_bazhmjc	punjabi	prog
ivec15-lre_baznytc	kurdish	eval
ivec15-lre_bazwakc	khmer	eval
ivec15-lre_bbdipgc	hausa	prog
ivec15-lre_bbfuyhc	arabic	eval
ivec15-lre_bbhjvcc	slovak	eval
ivec15-lre_bbiyrvc	punjabi	eval
ivec15-lre_bbkuohc	out_of_set	eval
ivec15-lre_bblwoyc	thai	eval
ivec15-lre_bbnfztc	armenian	eval
ivec15-lre_bbqxywc	slovak	eval
ivec15-lre_bbrftzc	portuguese	eval
ivec15-lre_bbsxxlc	french	eval
ivec15-lre_bbvkeoc	out_of_set	eval
ivec15-lre_bbwlsmc	out_of_set	eval
ivec15-lre_bbxjlbc	ukrainian	eval
ivec15-lre_bcapkhc	tatar	eval
ivec15-lre_bccsmgc	uzbek	prog
ivec15-lre_bcdwzgc	cantonese	eval
ivec15-lre_bceomoc	punjabi	eval
ivec15-lre_bchnxkc	out_of_set	eval
ivec15-lre_bchtpxc	turkish	eval
ivec15-lre_bciohsc	urdu	prog
ivec15-lre_bclvrqc	polish	eval
ivec15-lre_bcmsqmc	tibetan	eval
ivec15-lre_bcqxarc	khmer	eval
ivec15-lre_bcypdzc	dari	prog
ivec15-lre_bcypscc	hausa	prog
ivec15-lre_bdebxtc	out_of_set	eval
ivec15-lre_bdhpzwc	spanish	eval
ivec15-lre_bdognfc	out_of_set	prog
ivec15-lre_bdpwalc	out_of_set	eval
ivec15-lre_bdwjctc	spanish	eval
ivec15-lre_bejpccc	arabic	eval
ivec15-lre_bejsvzc	portuguese	eval
ivec15-lre_benmvmc	hindi	eval
ivec15-lre_bepeejc	georgian	eval
ivec15-lre_bevopzc	khmer	prog
ivec15-lre_bewtxpc	french	eval
ivec15-lre_bfcrcsc	out_of_set	eval
ivec15-lre_bfcyvac	out_of_set	eval
ivec15-lre_bfddlkc	turkish	eval
ivec15-lre_bfnxjdc	slovak	eval
ivec15-lre_bfoiumc	hindi	eval
ivec15-lre_bfpatmc	tagalog	eval
ivec15-lre_bfszifc	urdu	prog
ivec15-lre_bfwosoc	georgian	eval
ivec15-lre_bfykwcc	out_of_set	eval
ivec15-lre_bgbrsdc	thai	eval
ivec15-lre_bgdruic	creole	eval
ivec15-lre_bgkwqgc	korean	eval
ivec15-lre_bgmwipc	out_of_set	eval
ivec15-lre_bgpahtc	tagalog	eval
ivec15-lre_bgrbwoc	turkish	eval
ivec15-lre_bgtqppc	hausa	eval
ivec15-lre_bhcdzec	tajik	eval
ivec15-lre_bhmexmc	french	eval
ivec15-lre_bhpokdc	armenian	eval
ivec15-lre_bhrtvuc	portuguese	eval
ivec15-lre_bhtshec	kyryz	eval
ivec15-lre_bhxtarc	out_of_set	prog
ivec15-lre_bhxxyxc	out_of_set	eval
ivec15-lre_biccwec	out_of_set	eval
ivec15-lre_bigxcbc	portuguese	prog
ivec15-lre_bihtfsc	romanian	eval
ivec15-lre_bihvfuc	swahili	eval
ivec15-lre_bijpkyc	out_of_set	eval
ivec15-lre_binkchc	azerbaijani	eval
ivec15-lre_biotuuc	out_of_set	prog
ivec15-lre_bipgvwc	out_of_set	prog
ivec15-lre_bitlrqc	tatar	eval
ivec15-lre_bjbjokc	japanese	prog
ivec15-lre_bjgaopc	korean	eval
ivec15-lre_bjjyxnc	out_of_set	eval
ivec15-lre_bjrssgc	out_of_set	eval
ivec15-lre_bjrudhc	romanian	eval
ivec15-lre_bjthgxc	bengali	eval
ivec15-lre_bjtpnvc	indonesian	eval
ivec15-lre_bjzkmcc	farsi	eval
ivec15-lre_bkaxzhc	arabic	prog
ivec15-lre_bkdzpsc	kurdish	prog
ivec15-lre_bkefifc	zulu	eval
ivec15-lre_bkehmwc	french	eval
ivec15-lre_bkezvsc	georgian	eval
ivec15-lre_bkguwcc	out_of_set	eval
ivec15-lre_bkhbxac	bengali	eval
ivec15-lre_bklronc	ukrainian	eval
ivec15-lre_bkocxcc	out_of_set	prog
ivec15-lre_bkpvbpc	out_of_set	prog
ivec15-lre_bkqbyuc	out_of_set	eval
ivec15-lre_bkrjmjc	out_of_set	eval
ivec15-lre_bkuutwc	farsi	eval
ivec15-lre_bkyxxzc	kurdish	prog
ivec15-lre_bleeewc	azerbaijani	eval
ivec15-lre_bltcscc	kurdish	prog
ivec15-lre_bltzltc	kyryz	eval
ivec15-lre_blwqivc	out_of_set	eval
ivec15-lre_bmigeqc	shona	prog
ivec15-lre_bmiswdc	tagalog	eval
ivec15-lre_bmlsbxc	somali	eval
ivec15-lre_bmlyjgc	out_of_set	eval
ivec15-lre_bmvpwmc	arabic	eval
ivec15-lre_bnbqwjc	tagalog	prog
ivec15-lre_bnivscc	zulu	eval
ivec15-lre_bnkytpc	farsi	eval
ivec15-lre_bnnyuuc	tajik	eval
ivec15-lre_bnsvmac	kyryz	eval
ivec15-lre_bntnuuc	out_of_set	eval
ivec15-lre_bnubiqc	out_of_set	eval
ivec15-lre_bnvojjc	out_of_set	prog
ivec15-lre_bogbydc	thai	prog
ivec15-lre_boielmc	out_of_set	prog
ivec15-lre_bokgnrc	swahili	eval
ivec15-lre_bokmigc	out_of_set	prog
ivec15-lre_bonhfvc	turkish	prog
ivec15-lre_botvdrc	out_of_set	prog
ivec15-lre_bowgxlc	out_of_set	prog
ivec15-lre_boxkjgc	out_of_set	prog
ivec15-lre_boxsbmc	oromo	eval
ivec15-lre_bozlwnc	shona	eval
ivec15-lre_bpfgjsc	burmese	eval
ivec15-lre_bpkrhbc	uzbek	eval
ivec15-lre_bpreqic	georgian	eval
ivec15-lre_bptxjmc	out_of_set	prog
ivec15-lre_bpwffuc	armenian	eval
ivec15-lre_bpycqcc	shona	eval
ivec15-lre_bqaguac	somali	prog
ivec15-lre_bqctzuc	somali	prog
ivec15-lre_bqebxwc	urdu	eval
ivec15-lre_bqfflcc	korean	eval
ivec15-lre_bqhnknc	out_of_set	prog
ivec15-lre_bqslguc	kyryz	prog
ivec15-lre_bqtiadc	out_of_set	eval
ivec15-lre_bqyggrc	out_of_set	eval
ivec15-lre_brclebc	portuguese	eval
ivec15-lre_bresnhc	kurdish	eval
ivec15-lre_brfaspc	shona	eval
ivec15-lre_brirenc	azerbaijani	eval
ivec15-lre_brjfwdc	kosovo	eval
ivec15-lre_brqmjfc	arabic	prog
ivec15-lre_bruxixc	japanese	eval
ivec15-lre_brwdrzc	polish	eval
ivec15-lre_bsbcmjc	out_of_set	eval
ivec15-lre_bsbhiwc	romanian	eval
ivec15-lre_bscmrtc	burmese	eval
ivec15-lre_bsfvtlc	burmese	eval
ivec15-lre_bsuvaxc	polish	eval
ivec15-lre_bsxyrrc	uzbek	eval
ivec15-lre_bsywgnc	zulu	eval
ivec15-lre_btaounc	polish	prog
ivec15-lre_bthbcfc	bengali	eval
ivec15-lre_btlzeic	out_of_set	eval
ivec15-lre_btocxpc	out_of_set	prog
ivec15-lre_btpmukc	bosnian	eval
ivec15-lre_btpqaac	somali	eval
ivec15-lre_btqphdc	french	eval
ivec15-lre_btqwnac	punjabi	eval
ivec15-lre_btsmkbc	out_of_set	prog
ivec15-lre_btsrhfc	hausa	eval
ivec15-lre_btuhwsc	bengali	eval
ivec15-lre_buglmcc	out_of_set	eval
ivec15-lre_bukdquc	kyryz	eval
ivec15-lre_buqqrjc	out_of_set	eval
ivec15-lre_buqxutc	english	prog
ivec15-lre_busgopc	out_of_set	eval
ivec15-lre_bushfac	urdu	prog
ivec15-lre_buwbrmc	out_of_set	eval
ivec15-lre_buxeygc	tajik	eval
ivec15-lre_bveiihc	somali	eval
ivec15-lre_bveztac	tagalog	prog
ivec15-lre_bvhgzzc	out_of_set	eval
ivec15-lre_bvhylkc	punjabi	eval
ivec15-lre_bvihfvc	out_of_set	prog
ivec15-lre_bvnfufc	out_of_set	eval
ivec15-lre_bvrhcec	zulu	eval
ivec15-lre_bvrzrpc	amharic	eval
ivec15-lre_bvtgajc	out_of_set	prog
ivec15-lre_bwbwawc	dari	eval
ivec15-lre_bwdbumc	romanian	eval
ivec15-lre_bwvwdxc	out_of_set	eval
ivec15-lre_bxejwdc	out_of_set	eval
ivec15-lre_bxhsvrc	bengali	eval
ivec15-lre_bxievic	out_of_set	eval
ivec15-lre_bxjzajc	bengali	eval
ivec15-lre_bxkjgic	czech	eval
ivec15-lre_bxkptvc	out_of_set	prog
ivec15-lre_bxpxmrc	indonesian	eval
ivec15-lre_bxsausc	out_of_set	eval
ivec15-lre_bxtfcsc	laotian	prog
ivec15-lre_bxvkwbc	hausa	prog
ivec15-lre_bxxtfoc	tibetan	eval
ivec15-lre_byabrac	somali	eval
ivec15-lre_byatzac	punjabi	eval
ivec15-lre_bydratc	pashto	eval
ivec15-lre_byfiuvc	out_of_set	eval
ivec15-lre_byivxgc	khmer	prog
ivec15-lre_byufpuc	tajik	eval
ivec15-lre_byxunnc	portuguese	eval
ivec15-lre_byyczoc	mandarin	eval
ivec15-lre_bzadufc	tatar	eval
ivec15-lre_bzaltec	creole	prog
ivec15-lre_bzbizfc	turkish	eval
ivec15-lre_bzchnqc	czech	eval
ivec15-lre_bzcvdqc	greek	prog
ivec15-lre_bzgspvc	out_of_set	eval
ivec15-lre_bzilfrc	urdu	eval
ivec15-lre_bzkfxpc	out_of_set	prog
ivec15-lre_bzmorvc	creole	eval
ivec15-lre_bzvakfc	khmer	eval
ivec15-lre_bzvoyvc	out_of_set	eval
ivec15-lre_bzwzytc	korean	eval
ivec15-lre_bzxuecc	kazakh	eval
ivec15-lre_bzzpjsc	out_of_set	eval
ivec15-lre_cafeknc	zulu	eval
ivec15-lre_cainjvc	kosovo	eval
ivec15-lre_caoyvcc	tagalog	eval
ivec15-lre_caricec	out_of_set	prog
ivec15-lre_casavkc	urdu	eval
ivec15-lre_cataycc	english	eval
ivec15-lre_catwjpc	out_of_set	eval
ivec15-lre_cavrdyc	amharic	eval
ivec15-lre_caypzhc	thai	eval
ivec15-lre_cbcwokc	english	eval
ivec15-lre_cbezzac	farsi	eval
ivec15-lre_cbhvhzc	greek	prog
ivec15-lre_cbiciqc	out_of_set	eval
ivec15-lre_cbiralc	burmese	eval
ivec15-lre_cbnwyic	czech	eval
ivec15-lre_cbsoxpc	tatar	eval
ivec15-lre_cbsqffc	kyryz	prog
ivec15-lre_cbvxenc	kurdish	prog
ivec15-lre_ccblflc	mandarin	eval
ivec15-lre_ccdhwfc	amharic	eval
ivec15-lre_ccgizcc	dari	eval
ivec15-lre_cckcyic	french	eval
ivec15-lre_ccnxxdc	ukrainian	eval
ivec15-lre_ccooihc	burmese	eval
ivec15-lre_ccqceec	urdu	eval
ivec15-lre_ccxdvfc	kosovo	eval
ivec15-lre_ccxvasc	russian	eval
ivec15-lre_ccxvofc	kazakh	eval
ivec15-lre_cdeuuwc	out_of_set	prog
ivec15-lre_cdgsanc	out_of_set	eval
ivec15-lre_cdiikuc	out_of_set	prog
ivec15-lre_cdkugcc	czech	eval
ivec15-lre_cdlyemc	azerbaijani	prog
ivec15-lre_cdmuubc	out_of_set	eval
ivec15-lre_cdponjc	slovak	eval
ivec15-lre_cdsshwc	japanese	eval
ivec15-lre_cdvbzlc	laotian	eval
ivec15-lre_cdxnmkc	creole	prog
ivec15-lre_cdzltkc	out_of_set	prog
ivec15-lre_cedrahc	cantonese	eval
ivec15-lre_ceesvjc	burmese	prog
ivec15-lre_cekjfwc	tatar	eval
ivec15-lre_cekjxwc	bosnian	eval
ivec15-lre_celgvvc	out_of_set	prog
ivec15-lre_ceodbkc	greek	prog
ivec15-lre_cepjlwc	mandarin	eval
ivec15-lre_ceqnmvc	out_of_set	eval
ivec15-lre_cerrfbc	indonesian	prog
ivec15-lre_cezvtgc	zulu	eval
ivec15-lre_cfnvnec	bengali	eval
ivec15-lre_cfpgyxc	punjabi	eval
ivec15-lre_cfrmiqc	spanish	eval
ivec15-lre_cfsneac	indonesian	eval
ivec15-lre_cftaejc	out_of_set	prog
ivec15-lre_cfxzdrc	punjabi	prog
ivec15-lre_cfzecfc	indonesian	prog
ivec15-lre_cgckcsc	shona	eval
ivec15-lre_cgddcdc	tatar	prog
ivec15-lre_cggqhoc	out_of_set	eval
ivec15-lre_cghxmqc	mandarin	prog
ivec15-lre_cgifzvc	khmer	eval
ivec15-lre_cgkazdc	azerbaijani	eval
ivec15-lre_cgkvtoc	czech	eval
ivec15-lre_cgkxjcc	korean	eval
ivec15-lre_cgmnjrc	ukrainian	eval
ivec15-lre_cgomrwc	out_of_set	prog
ivec15-lre_cgvknoc	out_of_set	eval
ivec15-lre_chalwqc	armenian	prog
ivec15-lre_chcbcnc	tagalog	eval
ivec15-lre_chcqabc	farsi	eval
ivec15-lre_chiwwdc	dari	prog
ivec15-lre_chjbdhc	out_of_set	eval
ivec15-lre_chmeizc	punjabi	prog
ivec15-lre_chonmrc	azerbaijani	eval
ivec15-lre_chxvahc	tagalog	eval
ivec15-lre_cibuovc	dari	eval
ivec15-lre_cicgemc	burmese	eval
ivec15-lre_cihhpqc	mandarin	prog
ivec15-lre_cikwipc	turkish	eval
ivec15-lre_citwtuc	burmese	prog
ivec15-lre_civjcfc	creole	eval
ivec15-lre_ciwjvpc	azerbaijani	eval
ivec15-lre_cjgdduc	bengali	eval
ivec15-lre_cjhocyc	tatar	eval
ivec15-lre_cjktbfc	somali	eval
ivec15-lre_cjmsplc	somali	eval
ivec15-lre_cjxigec	armenian	eval
ivec15-lre_cjxjrrc	tatar	eval
ivec15-lre_ckbjlac	indonesian	eval
ivec15-lre_ckewwkc	korean	eval
ivec15-lre_ckuulqc	slovak	eval
ivec15-lre_ckwkuwc	georgian	eval
ivec15-lre_ckxojxc	ukrainian	prog
ivec15-lre_ckyfqec	out_of_set	eval
ivec15-lre_ckzvzzc	polish	eval
ivec15-lre_clatkwc	uzbek	eval
ivec15-lre_clextuc	turkish	eval
ivec15-lre_cljcygc	polish	eval
ivec15-lre_clqppvc	out_of_set	eval
ivec15-lre_cltbalc	out_of_set	eval
ivec15-lre_clvtptc	laotian	eval
ivec15-lre_clwixdc	georgian	eval
ivec15-lre_clycnwc	out_of_set	prog
ivec15-lre_clzmkfc	swahili	eval
ivec15-lre_cmcirbc	pashto	eval
ivec15-lre_cmdfyhc	russian	eval
ivec15-lre_cmfzqwc	polish	eval
ivec15-lre_cmgvutc	uzbek	eval
ivec15-lre_cmomvvc	azerbaijani	eval
ivec15-lre_cmppwnc	out_of_set	prog
ivec15-lre_cmuqyzc	tibetan	prog
ivec15-lre_cmxnhoc	hausa	prog
ivec15-lre_cmyrcyc	laotian	prog
ivec15-lre_cmzllxc	creole	eval
ivec15-lre_cnbcqxc	shona	prog
ivec15-lre_cncplqc	hausa	eval
ivec15-lre_cnderoc	kosovo	prog
ivec15-lre_cndwpvc	amharic	prog
ivec15-lre_cnebapc	out_of_set	prog
ivec15-lre_cnfkgcc	kyryz	prog
ivec15-lre_cnlanuc	bengali	prog
ivec15-lre_cnmyhnc	out_of_set	eval
ivec15-lre_cnokflc	polish	eval
ivec15-lre_cnqiehc	japanese	eval
ivec15-lre_cnxaxfc	out_of_set	eval
ivec15-lre_cnzclzc	kyryz	eval
ivec15-lre_codnhlc	japanese	eval
ivec15-lre_codwroc	out_of_set	eval
ivec15-lre_coflvfc	out_of_set	prog
ivec15-lre_cogfdyc	russian	eval
ivec15-lre_coguxmc	kosovo	eval
ivec15-lre_coipnic	punjabi	eval
ivec15-lre_cojgnlc	oromo	eval
ivec15-lre_cpdvfxc	out_of_set	eval
ivec15-lre_cpdvwec	out_of_set	eval
ivec15-lre_cpffcec	out_of_set	eval
ivec15-lre_cphctac	slovak	eval
ivec15-lre_cpmnljc	cantonese	eval
ivec15-lre_cpnvlhc	tatar	prog
ivec15-lre_cpsiuyc	kyryz	eval
ivec15-lre_cpsrlrc	thai	prog
ivec15-lre_cpuscec	azerbaijani	eval
ivec15-lre_cpuuprc	korean	eval
ivec15-lre_cpwkskc	out_of_set	eval
ivec15-lre_cqamjgc	cantonese	prog
ivec15-lre_cqbmtmc	tajik	eval
ivec15-lre_cqbtpoc	creole	eval
ivec15-lre_cqkbwdc	arabic	eval
ivec15-lre_cqoblbc	arabic	eval
ivec15-lre_cqoygqc	turkish	prog
ivec15-lre_cqpigkc	slovak	eval
ivec15-lre_cqpmwlc	oromo	eval
ivec15-lre_cqroibc	pashto	eval
ivec15-lre_cqucxmc	kurdish	prog
ivec15-lre_cqudxnc	spanish	prog
ivec15-lre_cqvvbhc	french	eval
ivec15-lre_cqxpqxc	out_of_set	eval
ivec15-lre_cqxujqc	out_of_set	eval
ivec15-lre_cqznywc	tagalog	eval
ivec15-lre_crbwjxc	tajik	eval
ivec15-lre_crcbqec	out_of_set	eval
ivec15-lre_crecgkc	kurdish	prog
ivec15-lre_crjieec	uzbek	prog
ivec15-lre_crkqkec	polish	prog
ivec15-lre_crpmlec	slovak	eval
ivec15-lre_crqehoc	punjabi	prog
ivec15-lre_crqnpec	out_of_set	eval
ivec15-lre_cruikqc	burmese	eval
ivec15-lre_crutqoc	kosovo	eval
ivec15-lre_crvdlhc	creole	eval
ivec15-lre_crvgigc	indonesian	eval
ivec15-lre_crwckcc	out_of_set	prog
ivec15-lre_crwhitc	korean	prog
ivec15-lre_crxuvkc	out_of_set	prog
ivec15-lre_cryesdc	amharic	eval
ivec15-lre_csayjfc	thai	eval
ivec15-lre_csfpluc	polish	prog
ivec15-lre_csgyukc	uzbek	prog
ivec15-lre_cskokyc	czech	eval
ivec15-lre_cskrvdc	czech	eval
ivec15-lre_csnrmbc	romanian	prog
ivec15-lre_csuoauc	out_of_set	prog
